[2023-12-14 21:40:02,494] Filepath does not exist: _conv/models/best.h5
[2023-12-14 21:40:02,496] Initializing new model
[2023-12-14 21:51:33,163] Epoch: 450 to 500, Batch: 6.25%, Mean Reward: -0.28, MSE: 0.89713, LR: 0.00486
[2023-12-14 21:51:34,592] Epoch: 450 to 500, Batch: 12.50%, Mean Reward: -0.60, MSE: 0.97086, LR: 0.00483
[2023-12-14 21:51:35,988] Epoch: 450 to 500, Batch: 18.75%, Mean Reward: -0.36, MSE: 0.92018, LR: 0.00481
[2023-12-14 21:51:37,492] Epoch: 450 to 500, Batch: 25.00%, Mean Reward: -0.52, MSE: 0.95597, LR: 0.00479
[2023-12-14 21:51:38,823] Epoch: 450 to 500, Batch: 31.25%, Mean Reward: -0.28, MSE: 0.90314, LR: 0.00476
[2023-12-14 21:51:40,310] Epoch: 450 to 500, Batch: 37.50%, Mean Reward: -0.20, MSE: 0.88707, LR: 0.00474
[2023-12-14 21:51:41,783] Epoch: 450 to 500, Batch: 43.75%, Mean Reward: -0.28, MSE: 0.89540, LR: 0.00471
[2023-12-14 21:51:43,230] Epoch: 450 to 500, Batch: 50.00%, Mean Reward: -0.84, MSE: 1.01516, LR: 0.00469
[2023-12-14 21:51:44,731] Epoch: 450 to 500, Batch: 56.25%, Mean Reward: -0.44, MSE: 0.92870, LR: 0.00467
[2023-12-14 21:51:46,179] Epoch: 450 to 500, Batch: 62.50%, Mean Reward: -0.44, MSE: 0.93160, LR: 0.00464
[2023-12-14 21:51:47,612] Epoch: 450 to 500, Batch: 68.75%, Mean Reward: -0.44, MSE: 0.93986, LR: 0.00462
[2023-12-14 21:51:48,990] Epoch: 450 to 500, Batch: 75.00%, Mean Reward: -0.52, MSE: 0.95028, LR: 0.00460
[2023-12-14 21:51:50,418] Epoch: 450 to 500, Batch: 81.25%, Mean Reward: -0.44, MSE: 0.93955, LR: 0.00458
[2023-12-14 21:51:51,937] Epoch: 450 to 500, Batch: 87.50%, Mean Reward: -0.36, MSE: 0.91261, LR: 0.00455
[2023-12-14 21:51:53,407] Epoch: 450 to 500, Batch: 93.75%, Mean Reward: -0.28, MSE: 0.89733, LR: 0.00453
[2023-12-14 21:51:54,891] Epoch: 450 to 500, Batch: 100.00%, Mean Reward: -0.44, MSE: 0.93563, LR: 0.00451
[2023-12-14 21:52:45,894] Epoch: 500 to 550, Batch: 6.25%, Mean Reward: -0.44, MSE: 0.93937, LR: 0.00448
[2023-12-14 21:52:47,380] Epoch: 500 to 550, Batch: 12.50%, Mean Reward: -0.60, MSE: 0.96610, LR: 0.00446
[2023-12-14 21:52:48,835] Epoch: 500 to 550, Batch: 18.75%, Mean Reward: -0.52, MSE: 0.94352, LR: 0.00444
[2023-12-14 21:52:50,305] Epoch: 500 to 550, Batch: 25.00%, Mean Reward: -0.68, MSE: 0.98730, LR: 0.00442
[2023-12-14 21:52:51,716] Epoch: 500 to 550, Batch: 31.25%, Mean Reward: -0.52, MSE: 0.96128, LR: 0.00440
[2023-12-14 21:52:53,161] Epoch: 500 to 550, Batch: 37.50%, Mean Reward: -0.04, MSE: 0.85090, LR: 0.00437
[2023-12-14 21:52:54,631] Epoch: 500 to 550, Batch: 43.75%, Mean Reward: -0.12, MSE: 0.86794, LR: 0.00435
[2023-12-14 21:52:56,117] Epoch: 500 to 550, Batch: 50.00%, Mean Reward: -0.52, MSE: 0.95222, LR: 0.00433
[2023-12-14 21:52:57,611] Epoch: 500 to 550, Batch: 56.25%, Mean Reward: -0.20, MSE: 0.88111, LR: 0.00431
[2023-12-14 21:52:59,063] Epoch: 500 to 550, Batch: 62.50%, Mean Reward: -0.28, MSE: 0.90739, LR: 0.00429
[2023-12-14 21:53:00,658] Epoch: 500 to 550, Batch: 68.75%, Mean Reward: -0.44, MSE: 0.93097, LR: 0.00427
[2023-12-14 21:53:02,159] Epoch: 500 to 550, Batch: 75.00%, Mean Reward: -0.52, MSE: 0.94938, LR: 0.00424
[2023-12-14 21:53:03,539] Epoch: 500 to 550, Batch: 81.25%, Mean Reward: -0.20, MSE: 0.88672, LR: 0.00422
[2023-12-14 21:53:05,058] Epoch: 500 to 550, Batch: 87.50%, Mean Reward: -0.28, MSE: 0.89883, LR: 0.00420
[2023-12-14 21:53:06,567] Epoch: 500 to 550, Batch: 93.75%, Mean Reward: -0.44, MSE: 0.93285, LR: 0.00418
[2023-12-14 21:53:08,139] Epoch: 500 to 550, Batch: 100.00%, Mean Reward: -0.68, MSE: 0.98261, LR: 0.00416
[2023-12-14 21:54:00,686] Epoch: 550 to 600, Batch: 6.25%, Mean Reward: -0.12, MSE: 0.87345, LR: 0.00414
[2023-12-14 21:54:02,143] Epoch: 550 to 600, Batch: 12.50%, Mean Reward: -0.28, MSE: 0.89403, LR: 0.00412
[2023-12-14 21:54:03,662] Epoch: 550 to 600, Batch: 18.75%, Mean Reward: -0.20, MSE: 0.88334, LR: 0.00410
[2023-12-14 21:54:05,178] Epoch: 550 to 600, Batch: 25.00%, Mean Reward: -0.60, MSE: 0.96774, LR: 0.00408
[2023-12-14 21:54:06,546] Epoch: 550 to 600, Batch: 31.25%, Mean Reward: -0.52, MSE: 0.95460, LR: 0.00406
[2023-12-14 21:54:07,905] Epoch: 550 to 600, Batch: 37.50%, Mean Reward: -0.36, MSE: 0.92220, LR: 0.00404
[2023-12-14 21:54:09,447] Epoch: 550 to 600, Batch: 43.75%, Mean Reward: -0.20, MSE: 0.88037, LR: 0.00402
[2023-12-14 21:54:10,865] Epoch: 550 to 600, Batch: 50.00%, Mean Reward: -0.52, MSE: 0.94865, LR: 0.00400
[2023-12-14 21:54:12,299] Epoch: 550 to 600, Batch: 56.25%, Mean Reward: -0.84, MSE: 1.01505, LR: 0.00398
[2023-12-14 21:54:13,802] Epoch: 550 to 600, Batch: 62.50%, Mean Reward: -0.36, MSE: 0.91677, LR: 0.00396
[2023-12-14 21:54:15,232] Epoch: 550 to 600, Batch: 68.75%, Mean Reward: -0.44, MSE: 0.93866, LR: 0.00394
[2023-12-14 21:54:16,632] Epoch: 550 to 600, Batch: 75.00%, Mean Reward: -0.52, MSE: 0.95405, LR: 0.00392
