[2023-11-28 09:36:07,660] File ./models_wzlen/best.h5 does not exist
[2023-11-28 10:05:17,793] Epoch 209, Loss 1.3108317852020264
[2023-11-28 10:05:20,279] Epoch 210, Loss 21.171070098876953
[2023-11-28 10:05:21,668] Epoch 211, Loss 1.7508690357208252
[2023-11-28 10:05:24,456] Epoch 212, Loss 21.704059600830078
[2023-11-28 10:05:26,695] Epoch 213, Loss 11.325669288635254
[2023-11-28 10:05:28,736] Epoch 214, Loss 2.9917550086975098
[2023-11-28 10:05:30,218] Epoch 215, Loss 18.73629379272461
[2023-11-28 10:05:32,266] Epoch 216, Loss 11.908432960510254
[2023-11-28 10:05:33,968] Epoch 217, Loss 12.521790504455566
[2023-11-28 10:05:36,304] Epoch 218, Loss 37.46809768676758
[2023-11-28 10:05:37,172] Epoch 219, Loss 0.8831149339675903
[2023-11-28 10:05:38,463] Epoch 220, Loss 35.70825958251953
[2023-11-28 10:05:40,456] Epoch 221, Loss 1.1961030960083008
[2023-11-28 10:05:42,618] Epoch 222, Loss 2.740506410598755
[2023-11-28 10:05:45,125] Epoch 223, Loss 7.9489216804504395
[2023-11-28 10:05:45,468] Epoch 224, Loss 0.4175812900066376
[2023-11-28 10:05:46,430] Epoch 225, Loss 34.426513671875
[2023-11-28 10:05:48,124] Epoch 226, Loss 22.37063980102539
[2023-11-28 10:05:49,390] Epoch 227, Loss 1.487284541130066
[2023-11-28 10:05:50,009] Epoch 228, Loss 0.2561121881008148
[2023-11-28 10:05:51,844] Epoch 229, Loss 36.103824615478516
[2023-11-28 10:05:53,075] Epoch 230, Loss 18.632244110107422
[2023-11-28 10:05:54,272] Epoch 231, Loss 9.784415245056152
[2023-11-28 10:05:56,771] Epoch 232, Loss 19.43329429626465
[2023-11-28 10:05:57,330] Epoch 233, Loss 0.7934069037437439
[2023-11-28 10:05:59,585] Epoch 234, Loss 2.4757003784179688
[2023-11-28 10:06:02,140] Epoch 235, Loss 21.56080436706543
[2023-11-28 10:06:03,165] Epoch 236, Loss 18.113250732421875
[2023-11-28 10:06:04,155] Epoch 237, Loss 35.02470397949219
[2023-11-28 10:06:04,798] Epoch 238, Loss 25.84660530090332
[2023-11-28 10:06:07,280] Epoch 239, Loss 26.49559783935547
[2023-11-28 10:06:07,794] Epoch 240, Loss 0.9822992086410522
[2023-11-28 10:06:10,765] Epoch 241, Loss 56.50279998779297
[2023-11-28 10:06:11,373] Epoch 242, Loss 9.454389572143555
[2023-11-28 10:06:12,846] Epoch 243, Loss 45.21674346923828
[2023-11-28 10:06:13,496] Epoch 244, Loss 8.934098243713379
[2023-11-28 10:06:15,181] Epoch 245, Loss 17.790754318237305
[2023-11-28 10:06:16,690] Epoch 246, Loss 28.655378341674805
[2023-11-28 10:06:17,903] Epoch 247, Loss 18.50585174560547
[2023-11-28 10:06:19,164] Epoch 248, Loss 11.246228218078613
[2023-11-28 10:06:20,510] Epoch 249, Loss 26.80974578857422
[2023-11-28 10:06:22,689] Epoch 250, Loss 36.06026077270508
[2023-11-28 10:06:22,689] Saved model at ./models_wzlen/epoch_250.h5
[2023-11-28 10:06:22,690] Loaded existing model at ./models_wzlen/epoch_250.h5
[2023-11-28 10:07:47,560] Loaded existing model at ./models_wzlen/epoch_200.h5
[2023-11-28 10:07:47,560] ./models_wzlen/epoch_200.h5 is loaded as the strongest model
[2023-11-28 10:07:48,161] Epoch 251, Loss 0.7123357057571411
[2023-11-28 10:07:49,067] Epoch 252, Loss 1.6449084281921387
[2023-11-28 10:07:49,662] Epoch 253, Loss 9.742281913757324
[2023-11-28 10:07:51,186] Epoch 254, Loss 26.66461181640625
[2023-11-28 10:07:52,648] Epoch 255, Loss 1.1959820985794067
[2023-11-28 10:07:54,276] Epoch 256, Loss 35.39923095703125
[2023-11-28 10:07:55,041] Epoch 257, Loss 17.717317581176758
[2023-11-28 10:07:57,155] Epoch 258, Loss 29.083728790283203
[2023-11-28 10:07:59,562] Epoch 259, Loss 2.3503005504608154
[2023-11-28 10:08:01,030] Epoch 260, Loss 1.4357434511184692
[2023-11-28 10:08:02,075] Epoch 261, Loss 0.33588582277297974
[2023-11-28 10:08:03,390] Epoch 262, Loss 19.75178337097168
[2023-11-28 10:08:05,598] Epoch 263, Loss 26.78868865966797
[2023-11-28 10:08:05,911] Epoch 264, Loss 17.36569595336914
[2023-11-28 10:08:07,798] Epoch 265, Loss 18.1427001953125
[2023-11-28 10:08:10,043] Epoch 266, Loss 20.805696487426758
[2023-11-28 10:08:12,991] Epoch 267, Loss 29.370952606201172
[2023-11-28 10:08:15,949] Epoch 268, Loss 30.385557174682617
[2023-11-28 10:08:17,917] Epoch 269, Loss 1.96006178855896
[2023-11-28 10:08:19,065] Epoch 270, Loss 2.388427734375
[2023-11-28 10:08:19,630] Epoch 271, Loss 0.585609495639801
[2023-11-28 10:08:21,083] Epoch 272, Loss 19.383901596069336
[2023-11-28 10:08:23,852] Epoch 273, Loss 72.06902313232422
[2023-11-28 10:08:25,036] Epoch 274, Loss 26.970155715942383
[2023-11-28 10:08:26,392] Epoch 275, Loss 1.8718817234039307
[2023-11-28 10:08:29,398] Epoch 276, Loss 30.32108497619629
[2023-11-28 10:08:30,640] Epoch 277, Loss 10.824353218078613
[2023-11-28 10:08:31,391] Epoch 278, Loss 0.5362605452537537
[2023-11-28 10:08:32,687] Epoch 279, Loss 0.7013800144195557
[2023-11-28 10:08:33,573] Epoch 280, Loss 18.922840118408203
[2023-11-28 10:08:35,537] Epoch 281, Loss 20.911945343017578
[2023-11-28 10:08:39,268] Epoch 282, Loss 3.7920241355895996
[2023-11-28 10:08:40,821] Epoch 283, Loss 35.29613494873047
