[2023-12-02 22:46:17,007] Filepath does not exist: ./models_dens/best.h5
[2023-12-02 22:46:17,007] Initializing new model
[2023-12-02 22:59:58,796] Epoch 263, Loss 89.43853759765625
[2023-12-02 23:00:00,015] Epoch 264, Loss 97.06576538085938
[2023-12-02 23:00:00,715] Epoch 265, Loss 21.274497985839844
[2023-12-02 23:00:01,771] Epoch 266, Loss 16.039636611938477
[2023-12-02 23:00:02,946] Epoch 267, Loss 16.911771774291992
[2023-12-02 23:00:04,004] Epoch 268, Loss 28.8465576171875
[2023-12-02 23:00:04,565] Epoch 269, Loss 10.865026473999023
[2023-12-02 23:00:06,216] Epoch 270, Loss 52.2799186706543
[2023-12-02 23:00:07,317] Epoch 271, Loss 14.10772705078125
[2023-12-02 23:00:09,463] Epoch 272, Loss 75.43860626220703
[2023-12-02 23:00:11,165] Epoch 273, Loss 48.78718566894531
[2023-12-02 23:00:12,937] Epoch 274, Loss 40.228397369384766
[2023-12-02 23:00:14,074] Epoch 275, Loss 50.968727111816406
[2023-12-02 23:00:15,000] Epoch 276, Loss 18.062278747558594
[2023-12-02 23:00:16,275] Epoch 277, Loss 17.265060424804688
[2023-12-02 23:00:17,535] Epoch 278, Loss 18.645145416259766
[2023-12-02 23:00:19,109] Epoch 279, Loss 23.757854461669922
[2023-12-02 23:00:19,787] Epoch 280, Loss 10.537355422973633
[2023-12-02 23:00:20,800] Epoch 281, Loss 13.137099266052246
[2023-12-02 23:00:21,945] Epoch 282, Loss 31.34284019470215
[2023-12-02 23:00:22,673] Epoch 283, Loss 23.126522064208984
[2023-12-02 23:00:23,954] Epoch 284, Loss 23.16939926147461
[2023-12-02 23:00:25,171] Epoch 285, Loss 24.86778450012207
[2023-12-02 23:00:27,597] Epoch 286, Loss 58.88175582885742
[2023-12-02 23:00:28,383] Epoch 287, Loss 11.795381546020508
[2023-12-02 23:00:29,642] Epoch 288, Loss 32.63572692871094
[2023-12-02 23:00:30,357] Epoch 289, Loss 13.990289688110352
[2023-12-02 23:00:31,363] Epoch 290, Loss 18.900163650512695
[2023-12-02 23:00:32,516] Epoch 291, Loss 52.2269172668457
[2023-12-02 23:00:34,235] Epoch 292, Loss 40.77985763549805
[2023-12-02 23:00:34,440] Epoch 293, Loss 5.5030412673950195
[2023-12-02 23:00:34,615] Epoch 294, Loss 5.500429630279541
[2023-12-02 23:00:35,633] Epoch 295, Loss 47.1113166809082
[2023-12-02 23:00:36,594] Epoch 296, Loss 21.282222747802734
[2023-12-02 23:00:37,678] Epoch 297, Loss 43.76323699951172
[2023-12-02 23:00:39,066] Epoch 298, Loss 29.347043991088867
[2023-12-02 23:00:40,082] Epoch 299, Loss 30.35517120361328
[2023-12-02 23:00:41,028] Epoch 300, Loss 15.416421890258789
[2023-12-02 23:02:19,731] ./models_dens/epoch_300.h5 is saved as the latest model
[2023-12-02 23:02:20,585] Epoch 301, Loss 14.830843925476074
[2023-12-02 23:02:22,044] Epoch 302, Loss 29.320772171020508
[2023-12-02 23:02:23,199] Epoch 303, Loss 16.718873977661133
[2023-12-02 23:02:23,764] Epoch 304, Loss 20.855085372924805
[2023-12-02 23:02:24,669] Epoch 305, Loss 19.831464767456055
[2023-12-02 23:02:26,191] Epoch 306, Loss 64.60636138916016
[2023-12-02 23:02:27,838] Epoch 307, Loss 37.81413650512695
[2023-12-02 23:02:28,469] Epoch 308, Loss 9.053383827209473
[2023-12-02 23:02:29,126] Epoch 309, Loss 10.32348346710205
[2023-12-02 23:02:29,946] Epoch 310, Loss 14.240843772888184
[2023-12-02 23:02:31,282] Epoch 311, Loss 34.63301467895508
[2023-12-02 23:02:32,828] Epoch 312, Loss 125.00834655761719
[2023-12-02 23:02:34,166] Epoch 313, Loss 85.11383819580078
[2023-12-02 23:02:34,917] Epoch 314, Loss 51.090538024902344
[2023-12-02 23:02:36,434] Epoch 315, Loss 86.79536437988281
[2023-12-02 23:02:37,613] Epoch 316, Loss 123.40664672851562
[2023-12-02 23:02:39,862] Epoch 317, Loss 69.09696960449219
[2023-12-02 23:02:41,967] Epoch 318, Loss 50.53422164916992
[2023-12-02 23:02:43,214] Epoch 319, Loss 37.96000289916992
[2023-12-02 23:02:44,141] Epoch 320, Loss 13.278074264526367
[2023-12-02 23:02:45,873] Epoch 321, Loss 95.64412689208984
[2023-12-02 23:02:47,154] Epoch 322, Loss 22.02903938293457
[2023-12-02 23:02:48,202] Epoch 323, Loss 41.197288513183594
[2023-12-02 23:02:49,144] Epoch 324, Loss 14.680862426757812
[2023-12-02 23:02:50,528] Epoch 325, Loss 35.276241302490234
[2023-12-02 23:02:51,813] Epoch 326, Loss 17.951133728027344
[2023-12-02 23:02:52,434] Epoch 327, Loss 11.32813549041748
[2023-12-02 23:02:54,246] Epoch 328, Loss 40.26816177368164
[2023-12-02 23:02:55,909] Epoch 329, Loss 86.42666625976562
[2023-12-02 23:02:56,453] Epoch 330, Loss 9.99536418914795
[2023-12-02 23:02:58,122] Epoch 331, Loss 73.1817626953125
[2023-12-02 23:02:59,007] Epoch 332, Loss 14.052968978881836
[2023-12-02 23:02:59,764] Epoch 333, Loss 13.500252723693848
[2023-12-02 23:03:00,407] Epoch 334, Loss 10.665477752685547
[2023-12-02 23:03:00,927] Epoch 335, Loss 10.78523063659668
[2023-12-02 23:03:01,527] Epoch 336, Loss 10.632547378540039
[2023-12-02 23:03:03,171] Epoch 337, Loss 37.491329193115234
[2023-12-02 23:03:04,930] Epoch 338, Loss 26.518922805786133
[2023-12-02 23:03:05,824] Epoch 339, Loss 18.467626571655273
[2023-12-02 23:03:08,035] Epoch 340, Loss 1.4410498142242432
[2023-12-02 23:03:08,846] Epoch 341, Loss 22.251253128051758
[2023-12-02 23:03:09,775] Epoch 342, Loss 15.776273727416992
[2023-12-02 23:03:10,319] Epoch 343, Loss 67.9568099975586
[2023-12-02 23:03:11,313] Epoch 344, Loss 34.937129974365234
[2023-12-02 23:03:12,322] Epoch 345, Loss 12.6771821975708
[2023-12-02 23:03:13,320] Epoch 346, Loss 14.04773998260498
[2023-12-02 23:03:14,318] Epoch 347, Loss 71.72074890136719
[2023-12-02 23:03:14,720] Epoch 348, Loss 10.385350227355957
[2023-12-02 23:03:15,286] Epoch 349, Loss 23.219728469848633
[2023-12-02 23:03:16,570] Epoch 350, Loss 52.00305938720703
[2023-12-02 23:04:38,267] ./models_dens/epoch_350.h5 is saved as the latest model
[2023-12-02 23:04:40,812] Epoch 351, Loss 1.5614900588989258
[2023-12-02 23:04:41,555] Epoch 352, Loss 18.438676834106445
[2023-12-02 23:04:42,312] Epoch 353, Loss 21.906293869018555
[2023-12-02 23:04:42,794] Epoch 354, Loss 12.305994987487793
[2023-12-02 23:04:44,417] Epoch 355, Loss 42.820533752441406
[2023-12-02 23:04:45,215] Epoch 356, Loss 15.332581520080566
[2023-12-02 23:04:45,667] Epoch 357, Loss 12.357681274414062
[2023-12-02 23:04:46,159] Epoch 358, Loss 8.1825532913208
[2023-12-02 23:04:47,009] Epoch 359, Loss 14.645508766174316
[2023-12-02 23:04:48,239] Epoch 360, Loss 21.7358341217041
[2023-12-02 23:04:49,537] Epoch 361, Loss 35.32704162597656
[2023-12-02 23:04:51,123] Epoch 362, Loss 25.528709411621094
[2023-12-02 23:04:51,513] Epoch 363, Loss 20.909976959228516
[2023-12-02 23:04:52,028] Epoch 364, Loss 11.405853271484375
[2023-12-02 23:04:53,312] Epoch 365, Loss 69.20577239990234
[2023-12-02 23:04:54,081] Epoch 366, Loss 18.390836715698242
[2023-12-02 23:04:56,226] Epoch 367, Loss 1.0854451656341553
[2023-12-02 23:04:57,384] Epoch 368, Loss 36.99223709106445
[2023-12-02 23:04:58,022] Epoch 369, Loss 21.200843811035156
[2023-12-02 23:04:59,110] Epoch 370, Loss 25.10296630859375
[2023-12-02 23:05:00,628] Epoch 371, Loss 19.258281707763672
[2023-12-02 23:05:00,844] Epoch 372, Loss 5.540022850036621
[2023-12-02 23:05:02,813] Epoch 373, Loss 84.71045684814453
[2023-12-02 23:05:03,971] Epoch 374, Loss 50.729454040527344
[2023-12-02 23:05:04,634] Epoch 375, Loss 39.351619720458984
[2023-12-02 23:05:05,939] Epoch 376, Loss 21.139991760253906
[2023-12-02 23:05:07,153] Epoch 377, Loss 15.662446022033691
[2023-12-02 23:05:08,571] Epoch 378, Loss 56.73881912231445
[2023-12-02 23:05:09,611] Epoch 379, Loss 91.09345245361328
[2023-12-02 23:05:11,335] Epoch 380, Loss 66.27787780761719
[2023-12-02 23:05:12,127] Epoch 381, Loss 28.86200523376465
