[2023-12-06 12:01:30,664] Filepath does not exist: _dens/models/best.h5
[2023-12-06 12:01:30,664] Initializing new model
[2023-12-06 12:55:16,579] Epoch: 232, MSE: 0.7884222269058228, Reward: 1, LR: 0.00098
[2023-12-06 12:55:29,951] Epoch: 233, MSE: 0.836047887802124, Reward: -1, LR: 0.00097
[2023-12-06 12:55:49,229] Epoch: 234, MSE: 0.8323267698287964, Reward: -1, LR: 0.00096
[2023-12-06 12:56:16,701] Epoch: 235, MSE: 0.797565221786499, Reward: 1, LR: 0.00095
[2023-12-06 12:56:32,082] Epoch: 236, MSE: 0.7864843010902405, Reward: 1, LR: 0.00094
[2023-12-06 12:56:55,797] Epoch: 237, MSE: 0.7962875962257385, Reward: 1, LR: 0.00093
[2023-12-06 12:57:10,572] Epoch: 238, MSE: 0.7883288860321045, Reward: 1, LR: 0.00092
[2023-12-06 12:57:26,553] Epoch: 239, MSE: 0.7876428961753845, Reward: 1, LR: 0.00091
[2023-12-06 12:57:43,284] Epoch: 240, MSE: 0.7846289277076721, Reward: 1, LR: 0.00091
[2023-12-06 12:58:07,894] Epoch: 241, MSE: 0.7941480875015259, Reward: 1, LR: 0.00090
[2023-12-06 12:58:23,474] Epoch: 242, MSE: 0.7854905724525452, Reward: 1, LR: 0.00089
[2023-12-06 12:58:37,593] Epoch: 243, MSE: 0.838287353515625, Reward: -1, LR: 0.00088
[2023-12-06 12:58:50,369] Epoch: 244, MSE: 0.7828847765922546, Reward: 1, LR: 0.00087
[2023-12-06 12:59:02,011] Epoch: 245, MSE: 0.8393164873123169, Reward: -1, LR: 0.00086
[2023-12-06 12:59:12,940] Epoch: 246, MSE: 0.7801223397254944, Reward: 1, LR: 0.00085
[2023-12-06 12:59:30,694] Epoch: 247, MSE: 0.8329368829727173, Reward: -1, LR: 0.00084
[2023-12-06 12:59:43,705] Epoch: 248, MSE: 0.8387494683265686, Reward: -1, LR: 0.00084
[2023-12-06 12:59:58,547] Epoch: 249, MSE: 0.783969521522522, Reward: 1, LR: 0.00083
[2023-12-06 13:00:12,217] Epoch: 250, MSE: 0.7824375033378601, Reward: 1, LR: 0.00082
[2023-12-06 13:01:35,405] _dens/models/epoch_250.h5 is saved as the latest model
[2023-12-06 13:01:46,904] Epoch: 251, MSE: 0.7792680859565735, Reward: 1, LR: 0.00081
